iter	RMSE
0	6321488.599
1	6233272.548
2	6141703.597
3	6055642.237
4	5966909.425
5	5885102.488
6	5799068.1
7	5727289.942
8	5647196.917
9	5572022.167
10	5505817.822
11	5431570.658
12	5359891.633
13	5302119.23
14	5241621.24
15	5181309.726
16	5122411.941
17	5064613.509
18	5010968.033
19	4957655.434
20	4907716.514
21	4851697.62
22	4801441.03
23	4761138.384
24	4708568.884
25	4657563.432
26	4615357.614
27	4571053.031
28	4535163.157
29	4495818.038
30	4456425.064
31	4417362.112
32	4379091.932
33	4343812.124
34	4310812.819
35	4276667.424
36	4244980.623
37	4213060.628
38	4185395.487
39	4156445.591
40	4126930.463
41	4099436.889
42	4067054.822
43	4038435.052
44	4013385.192
45	3985375.554
46	3962511.407
47	3936303.034
48	3909670.591
49	3888508.315
50	3865617.281
51	3845656.543
52	3821460.49
53	3805340.922
54	3784374.368
55	3764983.739
56	3748883.785
57	3726377.229
58	3708560.061
59	3688037.553
60	3670528.094
61	3652971.221
62	3635727.873
63	3621105.293
64	3607526.767
65	3590499.242
66	3576289.797
67	3567956.006
68	3552265.74
69	3539772.635
70	3524400.531
71	3512781.316
72	3501211.195
73	3488708.624
74	3476666.565
75	3464314.129
76	3448864.302
77	3439097.474
78	3427087.944
79	3419621.349
80	3410432.363
81	3405580.22
82	3399369.919
83	3389079.811
84	3379104.413
85	3373568.743
86	3368104.234
87	3355531.183
88	3350623.407
89	3342160.687
90	3332976.053
91	3325671.27
92	3320767.536
93	3311908.721
94	3303902.001
95	3293245.098
96	3284582.586
97	3278489.981
98	3275967.025
99	3268587.165
100	3262032.659
101	3252210.066
102	3246189.833
103	3241854.959
104	3239384.202
105	3230401.056
106	3225989.71
107	3218906.992
108	3207736.995
109	3204441.192
110	3198931.366
111	3195725.248
112	3186422.816
113	3177991.508
114	3170499.268
115	3167093.94
116	3163639.536
117	3158779.898
118	3152943.865
119	3147345.522
120	3139615.126
121	3136137.406
122	3132286.37
123	3125740.252
124	3118823.18
125	3113906.432
126	3111761.295
127	3103913.087
128	3097164.101
129	3093683.156
130	3088012.169
131	3084853.703
132	3081129.943
133	3073920.321
134	3068123.059
135	3062156.835
136	3057054.665
137	3051689.882
138	3046225.106
139	3042616.146
140	3036300.63
141	3029121.68
142	3024207.843
143	3018427.489
144	3013858.582
145	3009064.379
146	3004057.209
147	2998820.22
148	2991324.17
149	2988287.078
150	2981625.027
151	2974345.412
152	2971111.278
153	2968602.603
154	2966133.134
155	2960466.452
156	2955167.59
157	2950539.539
158	2944340.923
159	2938251.87
160	2936022.217
161	2929632.337
162	2924946.056
163	2919240.945
164	2917177.344
165	2914805.734
166	2913242.817
167	2911134.466
168	2906422.221
169	2900669.679
170	2896763.259
171	2893642.164
172	2891549.297
173	2886023.608
174	2880296.012
175	2875987.313
176	2874070.477
177	2872338.934
178	2866916.617
179	2863614.355
180	2860413.775
181	2854753.446
182	2852970.37
183	2845776.6
184	2842061.53
185	2836499.639
186	2828588.354
187	2826059.098
188	2823999.24
189	2820386.673
190	2812598.681
191	2811258.834
192	2810521.44
193	2808200.976
194	2806838.978
195	2805318.836
196	2804642.166
197	2802361.078
198	2799917.378
199	2795865.081
200	2792532.102
201	2788996.158
202	2785679.858
203	2783016.84
204	2781488.713
205	2780204.522
206	2779357.403
207	2778094.035
208	2773027.003
209	2765811.903
210	2760296.325
211	2756075.538
212	2746287.693
213	2745051.377
214	2743496.187
215	2741177.313
216	2740014.34
217	2737106.429
218	2730251.82
219	2726899.717
220	2725052.588
221	2720792.008
222	2719745.214
223	2718414.865
224	2716749.806
225	2711997.892
226	2708010.986
227	2705747.51
228	2704567.278
229	2700542.734
230	2698637.099
231	2697158.398
232	2691647.204
233	2687499.539
234	2680281.805
235	2679239.682
236	2677423.034
237	2675056.483
238	2672788.089
239	2670964.923
240	2670392.136
241	2669257.113
242	2666924.011
243	2661738.095
244	2658555.702
245	2657680.623
246	2656845.716
247	2653649.875
248	2652394.197
249	2650450.037
250	2649713.965
251	2645365.083
252	2642181.712
253	2640090.346
254	2636645.453
255	2636381.866
256	2635323.695
257	2631870.237
258	2630338.307
259	2627465.558
260	2626233.26
261	2625400.357
262	2623253.216
263	2620750.186
264	2620022.461
265	2619356.248
266	2618349.001
267	2617488.763
268	2616905.853
269	2612925.454
270	2611283.143
271	2610446.633
272	2607781.868
273	2606466.267
274	2603801.874
275	2602427.498
276	2599656.768
277	2596424.574
278	2594037.894
279	2590370.563
280	2586233.66
281	2581200.415
282	2580685.655
283	2579845.379
284	2579132.103
285	2574874.319
286	2571060.821
287	2570098.961
288	2565742.458
289	2563549.987
290	2561244.771
291	2560955.877
292	2557019.772
293	2552539.865
294	2551943.305
295	2550374.335
296	2549602.689
297	2548032.49
298	2547202.114
299	2545805.858
300	2544946.847
301	2540866.354
302	2540221.574
303	2539574.987
304	2538272.065
305	2537552.406
306	2536982.986
307	2536575.793
308	2532780.452
309	2529375.557
310	2525605.776
311	2522849.918
312	2521890.21
313	2516916.771
314	2513110.163
315	2511008.908
316	2510289.336
317	2508039.178
318	2506083.356
319	2505552.177
320	2503540.506
321	2502062
322	2496825.315
323	2496042.099
324	2494535.587
325	2489739.114
326	2489056.4
327	2485529.637
328	2484904.55
329	2480943.731
330	2479344.816
331	2479030.881
332	2476611.187
333	2475377.634
334	2474542.904
335	2472807.558
336	2470575.913
337	2465961.658
338	2465132.419
