iter	Passed	Remaining
0	75	75473
1	80	40368
2	86	28684
3	90	22577
4	98	19686
5	103	17108
6	107	15273
7	112	13989
8	117	12907
9	123	12198
10	131	11841
11	136	11238
12	143	10902
13	148	10463
14	154	10150
15	162	10004
16	167	9682
17	172	9386
18	176	9126
19	181	8887
20	187	8756
21	194	8633
22	200	8509
23	206	8387
24	212	8298
25	218	8195
26	223	8039
27	232	8084
28	237	7951
29	243	7869
30	247	7736
31	252	7637
32	256	7526
33	261	7442
34	266	7338
35	272	7284
36	278	7251
37	283	7175
38	287	7093
39	292	7010
40	302	7077
41	307	7012
42	311	6936
43	316	6876
44	321	6812
45	325	6752
46	333	6770
47	337	6701
48	342	6642
49	348	6623
50	353	6574
51	358	6533
52	364	6511
53	371	6507
54	375	6449
55	383	6457
56	389	6443
57	396	6436
58	400	6385
59	406	6366
60	411	6328
61	415	6287
62	420	6251
63	425	6217
64	430	6194
65	435	6164
66	440	6140
67	445	6108
68	450	6073
69	454	6041
70	460	6028
71	464	5993
72	471	5983
73	476	5958
74	480	5929
75	485	5899
76	494	5926
77	499	5899
78	506	5899
79	511	5880
80	515	5852
81	520	5826
82	526	5812
83	532	5802
84	536	5774
85	541	5751
86	545	5726
87	550	5705
88	557	5707
89	563	5699
90	567	5672
91	572	5645
92	578	5638
93	584	5630
94	591	5635
95	596	5615
96	602	5609
97	607	5591
98	611	5566
99	616	5544
100	624	5561
101	631	5561
102	637	5548
103	641	5524
104	645	5502
105	649	5477
106	656	5478
107	660	5454
108	666	5444
109	670	5423
110	674	5403
111	678	5381
112	684	5374
113	693	5393
114	698	5372
115	704	5366
116	709	5357
117	715	5350
118	720	5330
119	726	5327
120	730	5309
121	735	5289
122	741	5285
123	747	5279
124	753	5272
125	761	5282
126	765	5262
127	770	5248
128	776	5241
129	780	5225
130	785	5209
131	793	5218
132	800	5215
133	804	5197
134	808	5179
135	813	5167
136	818	5154
137	823	5146
138	828	5128
139	833	5119
140	838	5105
141	842	5088
142	846	5075
143	852	5070
144	859	5067
145	864	5054
146	868	5040
147	873	5025
148	879	5021
149	886	5023
150	892	5018
151	897	5006
152	904	5005
153	912	5011
154	916	4998
155	923	4997
156	928	4985
157	932	4970
158	939	4970
159	944	4960
160	950	4955
161	956	4950
162	963	4947
163	967	4933
164	972	4920
165	977	4909
166	981	4896
167	989	4900
168	995	4895
169	999	4881
170	1004	4868
171	1010	4865
172	1014	4851
173	1025	4869
174	1031	4863
175	1037	4858
176	1044	4854
177	1048	4840
178	1053	4831
179	1060	4831
180	1067	4832
181	1072	4819
182	1077	4809
183	1083	4804
184	1090	4803
185	1095	4792
186	1099	4779
187	1103	4768
188	1108	4755
189	1114	4750
190	1118	4739
191	1124	4731
192	1128	4718
193	1132	4706
194	1138	4701
195	1142	4688
196	1149	4686
197	1157	4686
198	1164	4687
199	1169	4677
200	1173	4665
201	1179	4659
202	1189	4669
203	1194	4658
204	1198	4647
205	1202	4635
206	1208	4629
207	1214	4624
208	1223	4628
209	1229	4624
210	1233	4613
211	1238	4602
212	1244	4597
213	1248	4586
214	1257	4590
215	1263	4587
216	1269	4581
217	1273	4569
218	1280	4567
219	1287	4565
220	1292	4555
221	1296	4543
222	1300	4531
223	1304	4519
224	1308	4508
225	1314	4503
226	1319	4492
227	1323	4481
228	1328	4473
229	1332	4462
230	1339	4460
231	1344	4450
232	1350	4444
233	1354	4434
234	1360	4429
235	1367	4425
236	1371	4415
237	1375	4404
238	1382	4400
239	1388	4396
240	1394	4390
241	1400	4386
242	1404	4375
243	1408	4365
244	1414	4359
245	1420	4354
246	1424	4343
247	1430	4338
248	1436	4332
249	1440	4322
250	1445	4313
251	1449	4302
252	1455	4297
253	1461	4293
254	1466	4284
255	1470	4273
256	1481	4283
257	1486	4274
258	1492	4269
259	1497	4262
260	1503	4258
261	1508	4247
262	1515	4247
263	1522	4245
264	1528	4238
265	1533	4232
266	1539	4226
267	1546	4223
268	1550	4212
269	1557	4212
270	1568	4219
271	1574	4214
272	1580	4207
273	1584	4197
274	1590	4192
275	1595	4186
276	1600	4176
277	1609	4180
278	1615	4173
279	1619	4164
280	1626	4160
281	1643	4184
282	1649	4178
283	1656	4176
284	1661	4168
285	1667	4163
286	1673	4157
287	1677	4148
288	1683	4141
289	1700	4162
290	1706	4157
291	1710	4148
292	1716	4140
293	1721	4132
294	1727	4127
295	1739	4136
296	1744	4128
297	1749	4120
298	1753	4111
299	1760	4106
300	1766	4101
301	1779	4113
302	1784	4104
303	1789	4096
304	1794	4088
305	1800	4083
306	1805	4075
307	1811	4070
308	1816	4062
309	1823	4058
310	1827	4048
311	1832	4041
312	1837	4033
313	1845	4031
314	1850	4025
315	1856	4018
316	1861	4010
317	1866	4003
318	1871	3995
319	1879	3993
320	1884	3985
321	1889	3977
322	1895	3973
323	1902	3969
324	1912	3972
325	1918	3966
326	1923	3958
327	1928	3950
328	1932	3941
329	1936	3932
330	1940	3922
331	1948	3920
332	1952	3911
333	1958	3906
334	1965	3901
335	1971	3896
336	1975	3886
337	1981	3881
338	1986	3873
339	1990	3863
340	1995	3855
341	2001	3850
342	2007	3845
343	2014	3840
344	2018	3831
345	2022	3822
346	2028	3817
347	2034	3812
348	2040	3806
349	2046	3801
350	2052	3795
351	2056	3786
352	2060	3777
353	2065	3770
354	2070	3761
355	2077	3758
356	2082	3750
357	2088	3744
358	2092	3737
359	2096	3727
360	2102	3722
361	2110	3719
362	2114	3711
363	2119	3703
364	2123	3694
365	2129	3689
366	2135	3683
367	2143	3680
368	2150	3677
369	2157	3673
370	2162	3666
371	2166	3657
372	2183	3670
373	2190	3666
374	2194	3657
375	2198	3649
376	2205	3644
377	2210	3636
378	2219	3636
379	2223	3627
380	2227	3618
381	2233	3613
382	2238	3605
383	2244	3600
384	2251	3597
385	2257	3590
386	2264	3586
387	2273	3585
388	2277	3577
389	2281	3569
390	2286	3560
391	2292	3555
392	2296	3547
393	2301	3540
394	2308	3535
395	2313	3528
396	2318	3521
397	2323	3513
398	2328	3507
399	2336	3504
400	2340	3496
401	2345	3488
402	2353	3487
403	2360	3482
404	2369	3481
405	2374	3473
406	2378	3465
407	2382	3456
408	2389	3452
409	2393	3444
410	2399	3438
411	2407	3435
412	2415	3433
413	2420	3425
414	2426	3420
415	2434	3417
416	2438	3409
417	2443	3401
418	2449	3396
419	2455	3390
420	2459	3383
421	2467	3380
422	2471	3371
423	2476	3363
424	2482	3358
425	2489	3354
426	2494	3347
427	2502	3344
428	2508	3339
429	2513	3331
430	2518	3325
431	2522	3317
432	2529	3311
433	2533	3303
434	2537	3295
435	2543	3290
436	2550	3285
437	2554	3278
438	2568	3282
439	2573	3275
440	2578	3268
441	2583	3261
442	2588	3254
443	2593	3247
444	2601	3244
445	2606	3237
446	2611	3231
447	2616	3223
448	2622	3218
449	2627	3211
450	2635	3208
451	2640	3201
452	2647	3196
453	2654	3192
454	2659	3185
455	2665	3179
456	2672	3175
457	2677	3168
458	2683	3163
459	2688	3156
460	2694	3149
461	2714	3160
462	2719	3154
463	2723	3146
464	2729	3140
465	2735	3134
466	2742	3129
467	2746	3122
468	2751	3115
469	2756	3107
470	2761	3101
471	2766	3094
472	2773	3090
473	2777	3082
474	2782	3075
475	2789	3071
476	2793	3063
477	2800	3057
478	2805	3051
479	2810	3044
480	2817	3039
481	2821	3032
482	2826	3025
483	2830	3018
484	2835	3010
485	2839	3003
486	2845	2997
487	2851	2991
488	2855	2984
489	2859	2976
490	2865	2970
491	2870	2963
492	2876	2958
493	2883	2953
494	2890	2948
495	2894	2941
496	2898	2933
497	2904	2928
498	2914	2925
499	2920	2920
500	2927	2916
501	2932	2908
502	2936	2901
503	2940	2894
504	2948	2889
505	2954	2884
506	2960	2879
507	2965	2872
508	2969	2864
509	2975	2858
510	2981	2852
511	2986	2846
512	2992	2840
513	2999	2835
514	3005	2830
515	3011	2824
516	3016	2817
517	3021	2811
518	3026	2804
519	3033	2800
520	3043	2798
521	3048	2791
522	3053	2784
523	3057	2777
524	3062	2770
525	3067	2764
526	3072	2757
527	3077	2750
528	3081	2743
529	3086	2737
530	3091	2730
531	3095	2723
532	3102	2718
533	3108	2712
534	3115	2708
535	3120	2701
536	3125	2694
537	3131	2689
538	3138	2684
539	3143	2677
540	3150	2672
541	3155	2666
542	3160	2659
543	3166	2654
544	3178	2653
545	3184	2647
546	3189	2641
547	3195	2635
548	3200	2628
549	3206	2623
550	3226	2629
551	3234	2625
552	3239	2618
553	3245	2612
554	3251	2606
555	3259	2603
556	3265	2597
557	3270	2590
558	3274	2583
559	3280	2577
560	3286	2572
561	3294	2567
562	3300	2561
563	3305	2555
564	3309	2548
565	3313	2540
566	3317	2533
567	3324	2528
568	3330	2522
569	3335	2516
570	3339	2509
571	3344	2502
572	3350	2496
573	3357	2491
574	3363	2486
575	3368	2479
576	3374	2473
577	3380	2468
578	3387	2463
579	3394	2458
580	3401	2453
581	3405	2446
582	3410	2439
583	3416	2433
584	3425	2430
585	3431	2424
586	3435	2417
587	3443	2412
588	3448	2406
589	3452	2399
590	3460	2394
591	3464	2387
592	3470	2382
593	3475	2375
594	3481	2369
595	3485	2362
596	3496	2359
597	3500	2353
598	3507	2348
599	3512	2341
600	3517	2335
601	3523	2329
602	3528	2323
603	3532	2316
604	3537	2309
605	3542	2303
606	3547	2296
607	3553	2291
608	3562	2287
609	3566	2280
610	3573	2275
611	3577	2268
612	3583	2262
613	3588	2255
614	3595	2251
615	3602	2245
616	3606	2238
617	3613	2233
618	3619	2227
619	3624	2221
620	3628	2214
621	3634	2208
622	3640	2203
623	3646	2197
624	3655	2193
625	3663	2188
626	3671	2184
627	3675	2177
628	3681	2171
629	3686	2165
630	3692	2159
631	3696	2152
632	3702	2146
633	3707	2140
634	3713	2134
635	3718	2128
636	3724	2122
637	3730	2116
638	3736	2111
639	3742	2105
640	3748	2099
641	3754	2093
642	3758	2086
643	3765	2081
644	3771	2076
645	3776	2069
646	3780	2062
647	3784	2055
648	3791	2050
649	3796	2044
650	3803	2039
651	3809	2033
652	3816	2028
653	3822	2022
654	3826	2015
655	3830	2008
656	3834	2002
657	3838	1995
658	3842	1988
659	3847	1982
660	3853	1976
661	3859	1970
662	3864	1964
663	3869	1957
664	3875	1952
665	3882	1946
666	3888	1941
667	3894	1935
668	3899	1929
669	3907	1924
670	3913	1918
671	3917	1912
672	3922	1905
673	3927	1899
674	3931	1893
675	3937	1887
676	3943	1881
677	3947	1874
678	3952	1868
679	3956	1861
680	3960	1855
681	3968	1850
682	3972	1843
683	3978	1838
684	3984	1832
685	3989	1826
686	3995	1820
687	4007	1817
688	4013	1811
689	4020	1806
690	4024	1799
691	4030	1793
692	4036	1788
693	4047	1784
694	4052	1778
695	4056	1771
696	4061	1765
697	4065	1759
698	4070	1752
699	4078	1747
700	4083	1741
701	4089	1736
702	4095	1730
703	4100	1723
704	4110	1719
705	4116	1714
706	4121	1707
707	4125	1701
708	4131	1695
709	4135	1689
710	4140	1683
711	4146	1677
712	4151	1670
713	4155	1664
714	4159	1658
715	4165	1652
716	4169	1645
717	4176	1640
718	4182	1634
719	4187	1628
720	4194	1623
721	4199	1617
722	4206	1611
723	4221	1609
724	4226	1603
725	4233	1597
726	4242	1593
727	4253	1589
728	4257	1582
729	4264	1577
730	4272	1572
731	4279	1566
732	4292	1563
733	4299	1558
734	4304	1552
735	4309	1545
736	4316	1540
737	4322	1534
738	4328	1528
739	4333	1522
740	4338	1516
741	4344	1510
742	4349	1504
743	4357	1499
744	4367	1495
745	4372	1488
746	4376	1482
747	4383	1476
748	4389	1471
749	4395	1465
750	4401	1459
751	4406	1453
752	4411	1447
753	4416	1440
754	4423	1435
755	4431	1430
756	4437	1424
757	4444	1418
758	4448	1412
759	4453	1406
760	4459	1400
761	4464	1394
762	4470	1388
763	4475	1382
764	4481	1376
765	4489	1371
766	4497	1366
767	4502	1360
768	4509	1354
769	4516	1349
770	4527	1344
771	4532	1338
772	4536	1332
773	4541	1326
774	4545	1319
775	4551	1313
776	4563	1309
777	4570	1304
778	4574	1297
779	4578	1291
780	4583	1285
781	4590	1279
782	4602	1275
783	4613	1271
784	4618	1265
785	4623	1258
786	4629	1252
787	4635	1247
788	4640	1240
789	4650	1236
790	4656	1230
791	4662	1224
792	4666	1218
793	4673	1212
794	4679	1206
795	4688	1201
796	4692	1195
797	4698	1189
798	4702	1183
799	4707	1176
800	4711	1170
801	4718	1164
802	4723	1158
803	4728	1152
804	4735	1147
805	4741	1141
806	4747	1135
807	4760	1131
808	4765	1125
809	4770	1119
810	4775	1112
811	4780	1106
812	4785	1100
813	4791	1094
814	4797	1088
815	4802	1082
816	4808	1076
817	4813	1070
818	4817	1064
819	4828	1059
820	4834	1053
821	4838	1047
822	4844	1041
823	4849	1035
824	4853	1029
825	4859	1023
826	4867	1018
827	4873	1012
828	4879	1006
829	4884	1000
830	4889	994
831	4894	988
832	4901	982
833	4907	976
834	4913	970
835	4921	965
836	4925	959
837	4931	953
838	4936	947
839	4940	941
840	4945	934
841	4951	929
842	4961	923
843	4967	918
844	4975	912
845	4980	906
846	4986	900
847	5000	896
848	5004	890
849	5010	884
850	5015	878
851	5022	872
852	5027	866
853	5033	860
854	5038	854
855	5043	848
856	5048	842
857	5052	836
858	5058	830
859	5063	824
860	5067	818
861	5074	812
862	5079	806
863	5084	800
864	5090	794
865	5094	788
866	5099	782
867	5103	776
868	5107	770
869	5112	763
870	5116	757
871	5128	752
872	5133	746
873	5138	740
874	5142	734
875	5148	728
876	5154	722
877	5161	717
878	5167	711
879	5174	705
880	5178	699
881	5185	693
882	5190	687
883	5201	682
884	5206	676
885	5212	670
886	5218	664
887	5222	658
888	5227	652
889	5234	646
890	5240	641
891	5246	635
892	5251	629
893	5257	623
894	5265	617
895	5270	611
896	5274	605
897	5279	599
898	5283	593
899	5288	587
900	5293	581
901	5305	576
902	5309	570
903	5317	564
904	5324	558
905	5330	553
906	5336	547
907	5340	541
908	5346	535
909	5353	529
910	5358	523
911	5366	517
912	5371	511
913	5377	505
914	5382	499
915	5386	493
916	5393	488
917	5397	482
918	5403	476
919	5408	470
920	5414	464
921	5421	458
922	5429	452
923	5435	447
924	5441	441
925	5445	435
926	5450	429
927	5454	423
928	5462	417
929	5467	411
930	5471	405
931	5477	399
932	5482	393
933	5487	387
934	5496	382
935	5500	376
936	5505	370
937	5512	364
938	5517	358
939	5522	352
940	5528	346
941	5533	340
942	5538	334
943	5543	328
944	5547	322
945	5552	316
946	5556	310
947	5572	305
948	5577	299
949	5583	293
950	5588	287
951	5592	281
952	5599	276
953	5620	270
954	5624	265
955	5629	259
956	5633	253
957	5640	247
958	5644	241
959	5651	235
960	5656	229
961	5661	223
962	5667	217
963	5672	211
964	5679	205
965	5694	200
966	5699	194
967	5703	188
968	5708	182
969	5712	176
970	5718	170
971	5724	164
972	5729	158
973	5734	153
974	5739	147
975	5744	141
976	5748	135
977	5753	129
978	5757	123
979	5762	117
980	5768	111
981	5774	105
982	5780	99
983	5787	94
984	5791	88
985	5797	82
986	5803	76
987	5810	70
988	5817	64
989	5822	58
990	5829	52
991	5835	47
992	5839	41
993	5843	35
994	5848	29
995	5861	23
996	5866	17
997	5872	11
998	5878	5
999	5882	0
